domain,application,version,users,MAU,HYAU,posts
tube.kockatoo.org,peertube,6.0.4,14,3,10,26559
tube.network.europa.eu,peertube,5.1.0,14,5,7,200
flipboard.video,peertube,6.0.4,14,2,13,10
conf.tube,peertube,6.0.3,14,2,2,546
peertube.biz,peertube,6.1.0-rc.1,14,8,14,184559
social.fedimovie.com,peertube,6.0.4,14,1,3,2643
pt.ilyamikcoder.com,peertube,6.0.2,14,5,9,433
canard.tube,peertube,5.2.1,14,0,1,996
peertube.european-pirates.eu,peertube,4.2.2,14,3,4,252
tube.nogafa.org,peertube,5.2.1,14,3,5,19782
merci-la-police.fr,peertube,5.0.1,14,0,1,136
video.cerclearistote.com,peertube,4.3.0,14,0,0,1483
watch.tacticaltech.org,peertube,5.2.1,14,2,4,136
vn.zohup.net,peertube,6.0.4,14,2,2,181
peertube.cpy.re,peertube,6.0.4,13,1,1,20
videos.john-livingston.fr,peertube,6.0.4,13,2,7,18961
tube.extinctionrebellion.fr,peertube,5.2.1,13,5,6,1183
tube.felinn.org,peertube,6.0.4,13,3,8,1378
video.gresille.org,peertube,6.0.4,13,4,8,3193
peertube.astral0pitek.synology.me,peertube,6.0.4,13,3,8,54912
peertube.ucy.de,peertube,3.2.1,13,1,2,8
video.turbo.chat,peertube,6.0.4,13,1,1,17
peertube.cpy.re:443,peertube,6.0.4,13,1,1,20
tube.ebin.club,peertube,6.0.4,12,0,2,437
peertube.cirkau.art,peertube,6.0.4,12,3,5,76170
videonaute.fr,peertube,4.3.0,12,0,0,5365
videos.parleur.net,peertube,6.0.4,12,4,8,24389
tube.distrilab.fr,peertube,6.0.3,12,2,4,258
tube.todon.eu,peertube,6.0.4,12,5,11,6153
peertube.inubo.ch,peertube,6.0.3,12,0,6,1182
peertube.zd.do,peertube,4.3.0,12,0,0,6342
tube.toldi.eu,peertube,5.2.1,12,1,1,3
videos.leslionsfloorball.fr,peertube,6.0.3,12,1,3,117
tube.azbyka.ru,peertube,5.2.1,12,2,3,5811
video.ocs.nu,peertube,6.0.3,12,5,12,1
videos.viorsan.com,peertube,6.0.4,11,1,1,267902
peertube.gegeweb.eu,peertube,3.0.1,11,2,2,22392
peertube.gruntwerk.org,peertube,6.0.4,11,3,9,995
watch.ocaml.org,peertube,6.0.4,11,2,6,154
peertube.gemlog.ca,peertube,6.0.3,11,0,3,8693
tube.fulda.social,peertube,6.0.3,11,1,4,19163
video.chbmeyer.de,peertube,6.0.4,11,0,3,37
videos.supertuxkart.net,peertube,4.0.0,11,0,2,53
media.theplattform.net,peertube,5.1.0,11,5,5,155
videos.craddock.org,peertube,6.0.1,11,0,2,79
media.smz-ma.de,peertube,5.1.0,11,1,3,1630
peertube.xrcb.cat,peertube,4.0.0,11,1,4,12
movie.tkngh.jp,peertube,5.2.1,10,1,9,29
vid.kinuseka.us,peertube,5.2.2-KinuRel,10,2,2,18020
tube.cyberia.club,peertube,5.0.1,10,0,0,30726
socpeertube.ru,peertube,4.2.0,10,2,4,800
vid.northbound.online,peertube,6.0.4,10,3,9,83193
videos.rights.ninja,peertube,6.0.4,10,1,2,2322
tube.dsocialize.net,peertube,3.1.0,10,0,1,142362
videos.realnephestate.xyz,peertube,5.2.1,10,1,1,32370
video.rhizome.org,peertube,6.0.2,10,1,4,277
tube.ofloo.io,peertube,6.0.4,10,4,4,139370
tube.govital.net,peertube,6.0.4,10,0,3,2860
peertube.thele.me,peertube,4.2.0,10,0,0,1149
video.csc49.fr,peertube,3.1.0,10,0,0,711
pt01.lehrerfortbildung-bw.de,peertube,6.0.4,10,2,8,85
breeze.tube,peertube,3.3.0,10,0,0,1
peertube.livingutopia.org,peertube,4.2.2,10,0,0,11
mix.video,peertube,6.0.4,10,2,2,19
peertube-demo.learning-hub.fr,peertube,4.3.1,10,1,2,3585
peertube.apps.mzclp.de,peertube,5.1.0,10,0,2,298
video.stwst.at,peertube,6.0.2,10,0,6,124
peertube.urkob.com,peertube,4.2.2,10,1,3,27
yt.orokoro.ru,peertube,6.0.4,10,1,4,15732
video.arghacademy.org,peertube,5.2.1,10,7,8,10
tube.risedsky.ovh,peertube,6.0.3,10,4,8,541
vid.ryg.one,peertube,6.0.3,10,2,10,0
peertube.beeldengeluid.nl,peertube,6.0.4,9,1,5,7604
peertube.heraut.eu,peertube,6.0.4,9,3,4,86754
media.zat.im,peertube,6.0.4,9,0,2,2096
video.migennes.net,peertube,6.0.4,9,1,2,116227
peertube.interhop.org,peertube,5.2.1,9,1,6,26
videos.ahp-numerique.fr,peertube,4.2.2,9,0,1,353
peertube.lagob.fr,peertube,5.2.0,9,1,2,69
serv1.wiki-tube.de,peertube,2.4.0,9,null,null,329
video.okaris.de,peertube,5.2.0,9,0,1,265
piraten.space,peertube,6.0.3,9,3,6,270
serv2.wiki-tube.de,peertube,2.4.0,9,null,null,329
videos.yeswiki.net,peertube,5.2.1,9,4,6,1263
video.lycee-experimental.org,peertube,6.0.3,9,0,2,4100
tube.polytech-reseau.org,peertube,6.0.4,9,1,3,15
peertube.teftera.com,peertube,6.0.2,9,2,4,25430
tututu.tube,peertube,4.2.2,9,0,3,30
video.migennes.net:443,peertube,6.0.4,9,1,2,116232
tube.pustule.org,peertube,6.0.2,9,0,6,8
video.dlearning.nl,peertube,5.2.0,9,3,4,45
peertube.laguixeta.cat,peertube,5.2.1,9,0,8,15
peertube.artsrn.ualberta.ca,peertube,4.3.0,9,0,1,110
video.sotamedia.org,peertube,5.2.1,9,2,9,77
media.inno3.eu,peertube,6.0.4,9,0,2,747
peer.tube,peertube,6.0.4,8,4,8,3919
spacepub.space,peertube,6.0.2,8,1,4,81
film.k-prod.fr,peertube,6.0.3,8,3,6,658
views.southfox.me,peertube,6.0.4,8,0,3,2725
peertube.familie-berner.de,peertube,6.0.4,8,1,8,23020
peertube.protagio.org,peertube,6.0.3,8,1,8,27
raptube.antipub.org,peertube,2.3.0,8,null,null,80
video.emergeheart.info,peertube,6.0.3,8,2,2,214
tube.picasoft.net,peertube,6.0.4,8,1,6,220
mountaintown.video,peertube,5.2.1,8,0,0,7035
tube.io18.top,peertube,6.0.4,8,1,2,1934
stream.conesphere.cloud,peertube,5.2.1,8,1,1,2650
