domain,application,version,users,MAU,HYAC,posts
pl.fanyx.xyz,akkoma,3.9.3-heads-v3-9-3,2,1,1,472
social.shadowfacts.net,akkoma,3.10.2,2,2,2,16276
cb.janusworx.com,akkoma,3.10.4-0-g0af8e93,2,0,1,400
pleroma.oook.fr,akkoma,3.10.4-1-gebfb617b,2,1,2,1287
plack.app,akkoma,3.10.4-7-g10f1690b-jadiunr-main,2,1,2,1
fediverse.omaramin.me,akkoma,3.10.4,2,1,1,757
fedi.owo.justdied.com,akkoma,3.10.3-0-g6cc523b,2,1,2,4745
social.alster.space,akkoma,3.10.3-0-g43c5fd5,2,2,2,4170
kyou.social,akkoma,3.5.0-0-gd9508474b,2,null,null,9328
void.0x0a.de,akkoma,3.9.3-28-g9d7c877d,2,1,2,216
nerd.town,akkoma,3.8.0,2,1,1,24
loves.reisen,akkoma,3.10.3-212-g6cc523bd-develop,2,1,1,109
rebel.iero.org,akkoma,3.10.4-0-gebfb617,2,1,2,4
madr.it,akkoma,3.8.0,2,1,2,34
pavlik.top,akkoma,3.10.4,2,1,2,516
fedi.circuitlocution.com,akkoma,3.10.4,2,1,1,662
social.ratliff.space,akkoma,3.9.3-0-g9d7c877,2,1,2,1
cerulean.ink,akkoma,3.10.4-1-gebfb617b,2,2,2,585
buni.ee,akkoma,3.10.4-0-gebfb617,2,2,2,29
x.isalman.dev,akkoma,3.10.4-1-gebfb617b,2,1,2,25
solitary.social,akkoma,3.10.4,2,2,2,493
birdsite.space,akkoma,3.10.4,2,2,2,56
p.h.etbus.ch,akkoma,3.10.4-0-gebfb617,2,1,2,30
fennec.town,akkoma,3.10.4-0-gebfb617,2,1,2,207
social.khromatic-myst.com,akkoma,3.9.3-28-g9d7c877d,2,1,3,387
akkoma.becutewith.me,akkoma,3.10.4-1-gebfb617b,2,2,2,34
ruud.social,akkoma,3.10.4-0-gebfb617,2,2,2,249
bunny.family,akkoma,3.5.0-0-gd9508474b,2,null,null,67
social.polynom.me,akkoma,3.9.3,2,1,1,42
social.violetmillie.me,akkoma,3.10.3,2,2,2,217
akkoma.dogphilosophy.net,akkoma,3.9.3-0-g9d7c877,2,2,2,210
teslam.in,akkoma,3.10.4-1-gebfb617b,2,1,2,1847
nrg2.net,akkoma,3.5.0-0-gd9508474b,2,null,null,4
social.ashwalker.net,akkoma,3.10.4,2,1,1,184
akkoma.riley-tech.net,akkoma,3.9.3-0-g9d7c877,2,1,2,102
naked.dequbed.space,akkoma,3.10.4-1-gebfb617b,2,2,2,60
lug.sh,akkoma,3.10.4,2,2,2,3
nettles.social,akkoma,3.8.0-0-gccae7ef,2,1,2,70
uoh.cx,akkoma,3.10.4-1-gebfb617b,2,1,1,482
tormentnexus.social,akkoma,3.9.3-28-g9d7c877d,2,1,1,1
p.changeme.fr.eu.org,akkoma,3.10.4-1-gebfb617b,2,1,1,125
fedi.tasossah.com,akkoma,3.10.4,2,1,2,57
deep13.social,akkoma,3.10.4-0-gebfb617,2,1,2,31
glam.monster,akkoma,3.10.4-0-gebfb617,2,2,3,253
ssda.me,akkoma,3.10.4-0-gebfb617,2,3,3,2
a.doskel.net,akkoma,3.10.4-1-gebfb617b,2,2,2,95
ap.nil.im,akkoma,3.9.3-152-g31d7cc9a-develop,2,2,3,876
fedi.quiet.horse,akkoma,3.9.3-28-g9d7c877d,2,2,3,1975
social.gerwitz.com,akkoma,3.8.0,2,2,2,992
social.sqrts.net,akkoma,3.10.4-0-gebfb617,2,2,2,126
