domain,application,version,users,AMU,AHYU,posts
mastodon.fuchss.org,mastodon,4.2.1,1,1,1,0
mastodon.barrierfreecanada.org,mastodon,4.2.1,1,1,1,18
w.ow3.cn,misskey,13.14.2,8,null,null,18
mastodon.a17t.dev,mastodon,4.2.0,1,1,1,0
mastodon.timo.systems,mastodon,4.2.0,1,1,1,1
mastodon.madnight.co.uk,mastodon,4.2.1-rc1,3,2,2,0
wxw.ooo,mastodon,4.1.4~wxw,22236,4347,6659,7887560
hoshipaso.info,mastodon,4.2.1,1,1,1,0
relay.blimey.social,akkoma,3.10.4-0-gebfb617,9,4,8,3540
evoterra.social,firefish,1.0.3,3,2,2,1216
social.e-du-it.de,firefish,1.0.4-beta,2,1,1,156
solawi.farm,mastodon,4.2.1,2,2,2,5
vegoon.party,mastodon,4.2.0,6,2,4,356
telemoritz.de,mastodon,4.2.1,2,2,2,2
fedi.averagedood.xyz,firefish,1.0.3,5,4,4,29
fedi.live-on.net,mastodon,4.2.0,6,6,6,2690
duckpond.social,firefish,1.0.4-beta,5,4,4,172
ff.corite.dev,firefish,1.0.3,2,1,1,7
as89.it,akkoma,3.10.4-0-gebfb617,1,1,1,16
strandgut.net,mastodon,4.2.1,2,2,2,103
prazeworks.uk,mastodon,4.2.1,2,2,2,13
fedi.stratus.family,firefish,1.0.3,3,1,1,14
really.sleepytealcoder.com,mastodon,4.2.1,3,3,3,9
social.n33.eu,mastodon,4.2.0,1,1,1,1
social.rust-lang.org,mastodon,4.2.1,2,2,2,1
sheydy.flora.nohost.me,misskey,12.119.2,1,1,1,1
construction.social,mastodon,4.1.2,1,1,3,35
pleroma.chroju.dev,pleroma,2.5.54-338-ga94cf2ad-develop,2,4,4,20
fedi.soundbored.org,firefish,1.0.3,3,2,2,7
cunnyborea.space,pleroma,2.5.54-640-gacbec640.develop+soapbox,24,29,29,1570
iceshrimp.kmkz.moe,iceshrimp,2023.11-pre2,3,2,2,0
social.fluxcoil.net,mastodon,4.2.1,2,2,2,2
mstdn.jklmno.org,mastodon,4.2.1,2,2,2,4
social.ifthenel.se,mastodon,4.3.0-alpha.0,2,2,2,53
masto.wizardfrag.co.uk,mastodon,4.2.1,1,2,2,40
bots.ferals-on.top,akkoma,3.10.4-1-gebfb617b,4,4,4,122
social.margiovanni.it,mastodon,4.2.1,1,1,1,63
firefish.tenkuu.social,firefish,1.0.4-beta31,5,4,4,96
pogfish.party,pleroma,2.5.54-640-gacbec640.develop+soapbox,1,1,1,17
psiren.eu,mastodon,4.2.0+glitch,1,1,1,1685
mastodon.sinoru.me,mastodon,4.2.1,1,1,1,10
the-crossroads-inn.com,mastodon,4.2.1,2,2,2,93
abraum.social,mastodon,4.2.1,6,6,6,75
veridian.social,mastodon,4.2.1,1,1,1,0
toot.msh-lse.fr,mastodon,4.2.1,3,3,3,5
beef-chicken-pork.beer,pleroma,2.5.5,1,1,1,16
hi.hashi.icu,misskey,2023.10.1-next,16,null,null,40
mi.seanut.app,misskey,2023.10.2-beta.2,3,null,null,319
firefish.fedibikes.de,firefish,1.0.3,3,2,2,57
terberlo.dog,firefish,1.0.4-beta31,3,2,2,368
mastomo.online,mastodon,4.2.1,2,2,2,157
gts.fallcounty.monster,gotosocial,0.11.1 git-c7a46e0,1,null,null,70
social.openbuddhism.org,mastodon,4.2.1,2,2,2,15
social.substantialplumbing.repair,gotosocial,,1,null,null,65
social.xnet.place,firefish,1.0.3,3,1,1,2
f.dosuto.net,firefish,1.0.4-beta2,3,1,1,1625
social.karebu.gay,firefish,1.0.3,2,1,1,71
mastodon.maxynetwork.it,mastodon,4.2.1,2,2,2,3
mstd.herrbenedikt.de,mastodon,4.2.1,2,2,2,87
fi.nrma.cc,firefish,1.0.5-dev18,3,1,1,1
pleroma.ochinchin.dev,pleroma,2.5.54-338-ga94cf2ad-develop,1,1,1,11
mastodon.128bit.ca,mastodon,4.2.1,2,2,2,15
faculty.stanford.edu,mastodon,4.2.1,6,6,6,5
m.ating.press,incestoma,6.9.1-118-g26e64b4b,3,null,null,198
fedivote.com,pleroma,2.5.5,6,6,6,6
misskey.amfedisr.net,misskey,2023.10.1,4,null,null,272
maziskaa.runaway-melancholy.com,misskey,2023.10.1,4,null,null,44
pleroma.kousaka.co,pleroma,2.5.5,1,1,1,24
sakasajou.chaotic.ninja,dolphin,1.4.0-20231001233956,null,null,null,null
social.numerique.gouv.fr,mastodon,4.2.1,9,9,9,63
500plus.slavistapl.eu.org,akkoma,3.10.4-0-gebfb617,1,1,1,70
social.winscloud.net,mastodon,4.2.1,2,2,2,75
social.xm1.de,mastodon,4.2.0,1,2,2,20
social.lelgenio.xyz,mastodon,4.1.9,1,1,1,14
calim.club,mastodon,4.2.0,6,7,7,323
